Comment Ratio
87.18
39.47
22.12
13.33
21.26
28.26
33.77
65.22
32.46
20.47
0.0
86.8
93.09
28.57
73.71
69.17
45.1
80.0
27.63
53.57
80.61
27.87
20.18
78.85
79.31
21.5
23.61
55.38
57.75
182.62
23.08
84.15
10.53
21.25
48.42
36.52
89.66
69.62
45.15
39.74
73.53
25.0
29.39
58.09
31.82
31.03
44.23
40.28
57.59
73.77
60.36
106.48
82.93
73.08
39.06
94.81
46.56
83.18
75.82
27.0
40.34
23.21
51.22
63.43
62.2
34.18
84.44
50.38
80.2
869.05
68.82
50.49
48.74
107.93
32.84
59.82
20.77
112.04
22.45
28.95
73.72
58.82
27.59
106.48
103.67
70.92
23.08
45.37
77.84
51.62
59.97
64.94
59.46
106.48
49.04
36.09
77.16
78.9
97.06
73.91
78.21
69.0
32.76
44.76
30.84
56.88
22.66
48.78
869.05
78.21
49.21
60.29
68.92
24.49
78.21
66.67
106.48
20.2
63.62
42.5
21.21
82.95
5.56
70.4
22.8
54.68
50.0
45.63
85.92
105.14
40.77
55.11
79.66
59.12
96.67
72.5
26.67
33.93
36.84
106.48
52.17
76.25
57.14
86.67
23.08
97.06
30.95
43.02
90.83
55.56
20.0
31.25
32.7
68.83
68.24
19.43
45.45
41.2
28.48
37.5
221.28
106.48
73.5
14.29
75.28
23.21
54.43
29.17
57.24
63.17
18.75
107.34
55.4
26.67
41.12
35.64
106.48
82.91
57.89
97.06
61.84
92.49
77.78
60.17
56.34
93.09
73.68
87.14
76.64
83.54
39.29
31.82
26.82
33.33
25.21
66.88
76.75
33.59
35.53
81.2
30.95
23.62
106.48
151.85
53.88
31.65
28.16
60.34
29.02
26.67
25.81
63.59
106.48
74.63
16.42
20.11
16.42
27.18
235.78
62.2
33.73
49.55
59.3
0.0
102.78
25.64
30.95
50.88
82.86
26.92
83.54
75.0
65.57
59.9
12.31
71.46
61.39
106.48
81.43
27.27
100.0
54.42
63.16
66.84
83.9
58.06
33.33
19.57
47.09
82.91
70.38
95.14
40.51
16.67
70.82
59.08
42.59
34.52
28.95
48.82
35.75
29.93
31.58
30.56
38.59
63.89
78.21
47.01
11.06
54.58
58.69
28.79
46.3
40.8
25.0
68.61
30.95
51.31
28.95
44.82
42.7
21.95
69.12
99.22
78.63
73.99
48.59
50.38
82.68
61.4
30.95
101.74
33.91
27.11
96.67
250.46
35.42
82.2
40.6
106.48
58.75
42.66
68.49
106.42
27.14
64.94
93.09
21.25
16.67
16.67
38.43
24.39
18.69
68.7
13.33
14.29
93.09
24.63
60.17
59.69
77.65
106.48
48.0
43.06
23.64
75.82
97.06
88.27
40.64
37.14
869.05
72.64
71.1
44.29
58.83
101.35
66.09
17.39
52.98
85.0
56.92
31.65
97.06
88.49
46.81
50.11
70.71
96.3
26.98
102.61
64.66
83.2
35.21
35.37
53.27
43.23
68.57
20.29
52.53
72.52
42.71
65.38
20.47
50.34
68.18
14.21
26.23
97.06
26.81
5.5
18.55
44.2
35.08
75.81
17.95
35.64
29.85
82.09
20.0
61.54
33.11
37.0
68.91
89.16
60.28
88.64
12.5
76.25
78.23
869.05
5945.24
35.14
82.55
65.76
88.3
82.05
20.47
43.97
37.06
81.48
57.51
57.33
28.51
77.86
25.46
13.56
42.86
78.48
17.95
39.11
29.55
33.33
15.0
62.64
10.34
64.65
67.47
72.06
77.78
23.27
67.68
35.4
37.14
68.52
77.16
36.51
35.26
88.0
37.02
16.92
62.7
57.0
39.71
58.79
96.87
21.67
85.37
85.12
100.0
83.54
68.39
17.19
67.44
42.11
37.23
41.37
82.93
37.04
93.46
12.05
21.78
57.63
63.59
82.93
48.36
33.91
43.45
21.43
42.48
57.92
47.22
47.33
82.7
81.03
46.3
54.26
229.36
12.58
33.33
82.3
11.0
103.7
19.61
28.69
65.18
10.8
31.13
105.56
38.92
41.03
85.88
37.57
40.09
34.33
32.67
71.3
78.43
48.08
47.78
72.32
91.07
60.98
45.37
20.14
38.27
78.21
71.71
34.21
62.36
97.06
50.11
92.43
40.77
30.66
26.32
50.25
28.12
56.48
19.51
30.0
30.86
38.58
77.78
30.99
7.46
82.93
46.61
93.09
67.37
28.91
63.7
20.8
74.4
20.0
98.51
42.86
68.57
61.11
13.57
71.05
34.88
91.8
79.8
106.48
67.82
83.65
61.08
59.12
25.44
21.52
37.76
53.69
106.48
43.93
15.69
16.67
74.31
53.78
96.67
55.67
22.45
39.42
42.41
80.16
90.16
64.94
55.1
127.5
37.57
65.81
91.67
23.53
42.46
47.22
83.49
29.44
61.86
42.17
83.54
36.19
58.82
62.04
46.27
18.28
21.97
70.09
78.21
40.0
21.15
26.76
122.28
83.54
105.5
25.76
32.51
59.39
6.25
105.5
21.09
65.14
45.02
66.18
20.83
46.39
85.71
34.88
16.42
869.05
62.59
46.31
42.67
198.59
111.64
22.5
67.37
97.2
39.29
62.28
44.68
27.69
92.59
28.74
67.08
67.67
61.47
90.37
13.64
65.68
89.71
36.04
83.54
83.54
114.98
31.65
75.0
63.74
106.48
63.87
23.08
106.48
49.49
64.37
44.05
63.95
72.22
59.82
37.57
34.27
25.0
60.53
27.04
69.83
23.53
54.4
105.5
52.42
78.33
74.58
37.0
29.37
70.0
39.68
81.42
55.38
82.79
96.84
53.9
34.18
67.59
32.14
30.99
29.27
35.71
48.53
31.82
77.78
14.49
22.22
83.33
50.8
43.18
40.74
56.92
37.57
23.91
19.05
78.74
43.9
19.67
27.66
93.46
112.67
103.49
40.84
21.82
77.22
92.59
37.14
60.98
44.29
48.29
64.26
95.27
37.68
48.65
12.95
31.48
23.91
54.69
31.78
94.97
94.31
51.83
29.51
65.08
59.12
67.97
30.0
103.74
76.46
57.49
75.81
88.45
68.18
71.43
29.81
40.42
59.47
280.81
105.56
69.09
72.5
14.49
83.54
28.95
111.96
59.1
14.49
21.52
40.0
25.76
82.91
32.73
97.06
72.58
82.4
38.07
88.27
52.44
