Version,Count
v0.4.25,1513
v0.4.21,2
v0.4.13,143
v0.4.19,928
v0.4.24,2556
v0.4.18,916
v0.4.21,818
v0.4.26,113
v0.4.11,249
v0.4.8,32
v0.4.20,312
v0.4.23,499
v0.4.17,132
v0.4.15,160
v0.4.16,284
v0.3.0,1
v0.4.20,44
v0.4.25,9
v0.4.22,9
v0.4.24,3
v0.4.22,77
v0.4.14,32
v0.3.3,1
v0.4.18,2
v0.4.15,1
v0.4.12,34
v0.4.25,10
v0.4.24,1
v0.2.0,1
v0.4.22,8
v0.4.18,4
v0.4.24,9
v0.4.20,1
v0.4.25,2
v0.3.5,4
v0.4.25,1
v0.4.22,1
v0.4.25,7
v0.4.16,1
v0.4.11,3
v0.4.25,3
v0.4.25,1
v0.4.10,15
v0.4.4,7
v0.4.25,2
v0.4.23,3
v0.4.19,20
v0.4.21,7
v0.4.25,8
v0.4.21,2
v0.4.19,8
v0.4.7,1
v0.4.22,2
v0.4.23,4
v0.3.5,5
v0.4.24,3
v0.4.22,8
v0.4.16,3
v0.4.25,1
v0.4.24,2
v0.4.20,2
v0.4.25,7
v0.4.19,1
v0.4.22,1
v0.4.22,2
v0.5.8,3
v0.3.2,1
v0.4.22,1
v0.4.20,4
v0.4.6,9
v0.4.20,7
v0.4.24,12
v0.3.1,2
v0.4.21,7
v0.4.24,1
v0.4.25,5
v0.4.25,1
v0.4.9,12
v0.3.5,1
v0.5.10,1
v0.4.25,1
v0.4.22,3
v0.4.21,3
v0.4.19,2
v0.4.24,2
v0.4.15,1
v0.4.2,4
v0.4.19,1
v0.5.0,2
v0.4.20,8
v0.4.24,1
v0.4.22,2
v0.3.5,1
v0.4.21,1
v0.5.11,3
v0.4.19,4
v0.4.25,4
v0.4.20,1
v0.4.25,1
v0.4.25,1
v0.4.3,2
v0.4.19,1
v0.4.24,1
v0.4.16,2
v0.4.11,1
v0.4.25,1
v0.4.12,1
v0.4.22,2
v0.4.19,2
v0.3.5,4
v0.4.22,2
v0.4.17,2
v0.3.5,1
v0.4.17,3
v0.4.14,1
v0.4.5,1
v0.3.6,1
v0.4.9,1
v0.4.14,1
v0.4.24,2
v0.4.16,1
v0.4.25,1
v0.4.0,3
v0.4.20,2
v0.4.20,2
v0.4.15,1
v0.4.20,1
v0.4.20,2
v0.4.24,4
v0.4.20,4
v0.4.23,1
v0.3.0,1
v0.4.18,1
v0.2.0,1
v0.4.21,1
v0.4.19,1
v0.4.10,1
v0.4.25,1
v0.4.25,1
v0.4.11,1
v0.4.19,2
v0.4.25,2
v0.4.24,2
v0.4.22,1
v0.4.25,4
v0.4.22,2
v0.4.17,1
v0.4.20,1
v0.4.25,2
v0.4.20,2
v0.4.17,1
v0.4.24,1
v0.4.19,2
v0.4.21,2
v0.4.7,1
v0.3.1,1
v0.2.1,1
v0.4.13,1
v0.3.6,1
v0.4.21,1
v0.4.3,1
v0.4.14,1
v0.5.1,1
v0.4.20,1
