Version,Count
v0.4.25-nightly.2018.7.31+commit.75c1a9bd,1
v0.4.0+commit.acd334c9,3
v0.4.20-nightly.2018.1.5+commit.bca01f8f,2
v0.4.20-nightly.2018.1.26+commit.bbad48bb,2
v0.4.15-nightly.2017.8.7+commit.212454a9,1
v0.4.20-nightly.2018.1.15+commit.14fcbd65,1
v0.4.20-nightly.2018.1.22+commit.e5def2da,2
v0.4.24-nightly.2018.4.27+commit.1604a996,4
v0.4.20-nightly.2018.1.4+commit.a0771691,4
v0.4.23-nightly.2018.4.18+commit.85687a37,1
v0.3.0-2016-03-30-c2cf806,1
v0.4.18-nightly.2017.10.16+commit.dbc8655b,1
v0.2.0-2016-01-20-67c855c,1
v0.4.21-nightly.2018.2.20+commit.dcc4083b,1
v0.4.19-nightly.2017.10.26+commit.59d4dfbd,1
v0.4.10-nightly.2017.2.3+commit.5ce79609,1
v0.4.25-nightly.2018.5.17+commit.4aa2f036,1
v0.4.25-nightly.2018.8.1+commit.21888e24,1
v0.4.11-nightly.2017.3.16+commit.a2eb2c0a,1
v0.4.19-nightly.2017.11.30+commit.f5a2508e,2
v0.4.25-nightly.2018.6.26+commit.24f124f8,2
v0.4.24-nightly.2018.4.25+commit.81cca26f,2
v0.4.22-nightly.2018.4.5+commit.c6adad93,1
v0.4.25-nightly.2018.5.16+commit.3897c367,4
v0.4.22-nightly.2018.3.30+commit.326d656a,2
v0.4.17-nightly.2017.8.28+commit.d15cde2a,1
v0.4.20-nightly.2017.11.30+commit.cb16a5d3,1
v0.4.25-nightly.2018.5.30+commit.3f3d6df2,2
v0.4.20-nightly.2017.12.14+commit.3d1830f3,2
v0.4.17-nightly.2017.8.25+commit.e945f458,1
v0.4.24-nightly.2018.5.2+commit.dc18cde6,1
v0.4.19-nightly.2017.10.19+commit.c58d9d2c,2
v0.4.21-nightly.2018.3.7+commit.bd7bc7c4,2
v0.4.7-nightly.2016.11.24+commit.851f8576,1
v0.3.1-2016-04-07-054bc2a,1
v0.2.1-2016-01-30-91a6b35,1
v0.4.13-nightly.2017.7.3+commit.6e4e627b,1
v0.3.6-nightly.2016.8.15+commit.868a167,1
v0.4.21-nightly.2018.2.21+commit.16c7eabc,1
v0.4.3-nightly.2016.10.15+commit.482807f6,1
v0.4.14-nightly.2017.7.24+commit.cfb11ff7,1
v0.5.1+commit.c8a2cb62,1
v0.4.20-nightly.2018.1.23+commit.31aaf433,1
