Count
1513
2
143
928
2556
916
818
113
249
32
312
499
132
160
284
1
44
9
9
3
77
32
1
2
1
34
10
1
1
8
4
9
1
2
4
1
1
7
1
3
3
1
15
7
2
3
20
7
8
2
8
1
2
4
5
3
8
3
1
2
2
7
1
1
2
3
1
1
4
9
7
12
2
7
1
5
1
12
1
1
1
3
3
2
2
1
4
1
2
8
1
2
1
1
3
4
4
1
1
1
2
1
1
2
1
1
1
2
2
4
2
2
1
3
1
1
1
1
1
2
1
1
3
2
2
1
1
2
4
4
1
1
1
1
1
1
1
1
1
1
2
2
2
1
4
2
1
1
2
2
1
1
2
2
1
1
1
1
1
1
1
1
1
1
