Functions
9
58
33
11
5
18
23
5
16
27
15
56
3
27
36
18
15
21
6
25
61
31
9
23
10
12
9
18
9
7
11
11
14
7
13
7
11
37
15
31
14
15
55
38
20
11
32
9
24
7
3
23
7
20
65
9
14
25
21
24
18
60
41
15
8
23
4
31
175
22
9
41
38
27
15
26
31
22
18
17
15
18
23
21
5
9
22
20
33
24
22
26
20
45
17
9
24
18
15
14
47
15
14
15
4
15
23
24
24
20
20
11
14
32
19
34
14
10
31
15
55
11
28
39
38
11
20
14
39
15
27
5
18
6
24
19
3
24
20
14
13
36
53
24
4
14
5
3
5
55
19
27
5
15
44
29
18
20
24
38
28
25
51
6
7
15
12
30
45
8
22
36
24
30
6
109
8
14
35
22
24
30
9
27
27
193
9
13
15
7
23
3
22
35
15
23
31
8
35
9
47
29
24
4
17
11
19
20
49
13
10
34
8
22
24
22
53
8
60
44
21
3
28
31
27
22
4
15
35
37
9
10
58
1
14
24
80
3
19
22
30
24
18
23
11
33
27
28
6
21
83
17
34
23
22
24
35
8
19
20
33
37
14
16
6
18
6
39
15
10
175
28
23
21
88
5
12
24
10
38
46
12
31
34
29
18
53
12
20
5
4
24
49
41
22
10
46
24
24
26
27
13
18
17
1
11
7
26
42
11
11
2
19
67
25
26
58
21
28
24
25
11
13
8
27
20
18
26
18
23
64
18
14
22
4
13
14
45
39
79
15
17
5
27
9
14
21
51
48
34
16
11
28
10
24
18
9
6
19
14
7
29
29
10
23
11
13
30
34
17
13
43
14
7
43
27
11
20
4
14
14
14
10
4
24
14
13
25
14
30
5
41
33
9
15
145
5
9
40
20
42
3
30
22
72
22
11
14
30
31
30
3
18
30
14
14
6
26
99
53
42
2
20
19
28
21
47
82
24
39
9
18
12
13
21
62
31
64
53
5
9
30
33
7
25
16
22
24
52
12
24
41
8
26
19
72
85
9
23
44
11
26
95
10
25
24
4
50
24
24
25
28
32
60
6
42
18
22
11
11
10
79
31
30
40
11
24
25
14
23
535
20
53
32
127
26
73
18
42
14
14
27
58
32
22
4
9
27
6
24
31
15
43
23
37
16
23
49
5
34
20
14
15
24
27
14
17
19
2
11
37
14
18
44
7
22
24
26
8
28
24
8
85
28
24
37
2
21
6
6
18
13
5
17
26
17
14
26
46
30
63
23
22
31
25
27
26
24
23
9
9
32
5
33
17
38
54
21
17
18
14
79
27
8
18
24
9
7
22
24
3
104
15
4
17
3
45
8
29
44
4
16
10
24
42
22
28
18
22
5
21
30
24
7
19
25
20
17
104
31
22
9
14
24
58
9
9
24
27
9
34
36
31
12
30
37
25
19
27
17
44
13
18
25
22
29
25
23
35
35
29
84
13
19
16
32
9
65
24
15
3
17
5
12
15
9
31
24
21
24
5
24
20
30
39
14
12
14
50
73
22
34
55
14
42
59
5
33
44
37
30
14
11
29
8
24
47
5
21
17
7
44
14
26
18
28
30
39
11
24
59
66
10
3
12
9
42
32
24
19
5
11
25
24
17
58
5
18
26
9
62
11
14
22
9
27
10
9
5
24
26
38
32
26
17
22
5
13
43
4
38
25
29
27
29
49
50
14
27
1
49
15
38
24
19
21
52
48
24
22
2
38
22
24
26
17
27
22
41
6
27
24
18
34
9
2
41
29
30
20
14
22
22
40
14
32
17
27
3
32
14
21
28
31
27
53
27
4
24
34
27
13
37
13
9
7
25
18
24
48
14
55
25
19
30
34
11
19
18
17
36
14
14
13
9
15
18
24
11
18
20
14
16
14
37
17
53
7
9
13
4
5
14
80
19
8
48
6
24
14
36
4
7
9
18
24
24
30
24
83
22
4
20
8
18
41
20
30
19
41
8
14
4
9
6
119
21
35
8
13
5
24
23
9
30
12
18
15
41
8
24
14
17
41
48
13
17
17
15
14
35
82
24
99
19
34
12
8
14
14
24
6
23
18
3
22
14
35
41
79
40
20
27
11
28
11
56
7
3
46
5
26
4
5
31
12
16
30
37
22
5
69
24
25
36
19
6
4
29
5
58
16
37
14
21
40
18
12
35
7
25
18
9
17
23
6
6
23
30
24
21
11
81
1
30
5
31
18
14
44
8
4
118
24
73
29
8
31
14
31
10
1
13
27
9
18
8
14
57
28
14
14
18
24
20
42
30
35
18
20
28
44
17
51
18
6
14
33
14
42
3
13
54
40
35
20
9
27
17
27
48
35
5
26
26
33
52
7
5
4
11
20
27
31
11
15
13
12
31
19
140
14
25
6
35
18
90
18
5
28
24
24
21
4
10
13
24
24
41
9
34
24
9
25
3
15
23
15
31
34
37
137
19
24
15
12
27
13
